thrust,burn_time,mass,drag,angle,diameter,propellant_mass,wind,apogee,velocity,flight_time,isp_vac,c_star,cf,chamber_pressure_bar
1591.6974406972504,3.3191946232004463,84.33683193737288,0.46617483271052146,82.83490890068647,0.19774211490946633,23.63056592585258,7.1700691029481245,1487.1782434170977,41.85958108632923,10.40733355737284,315.13,5772.75,0.5355,20.0
1442.8602887299717,4.045700425583655,84.20660334512071,0.32929177977599294,82.61471525616689,0.1549022912971118,17.2261967996507,5.826879071113959,1494.2620816002293,43.61015547466687,11.236097761056987,315.13,5772.75,0.5355,20.0
1183.2090250996307,4.883058450099018,86.52550857013071,0.49195408832108906,82.71067166822735,0.23991284076742916,28.166939376455208,0.4483058194729783,1456.3505603864367,33.82529635033972,10.005084750761455,315.13,5772.75,0.5355,20.0
922.6779709562701,5.706625388941092,89.45021312921554,0.5186217087242719,84.91885758994094,0.245886048808943,11.694578406271338,5.589119126344707,1405.1296197721626,10.024696712675757,7.034238740662086,315.13,5772.75,0.5355,20.0
1931.9747749391452,4.069325611557244,92.47722303319941,0.554663021891326,76.36993048864586,0.10652985843962078,25.339442929069648,3.9033722065370204,1570.837238426976,60.572813560451195,14.159933603086639,315.13,5772.75,0.5355,20.0
901.8595883902542,6.425299628645751,91.07669940148227,0.5528279374517837,87.38319221034428,0.1627660316226061,24.778360074547102,4.094549246007659,0.0,0.0,600.0,315.13,5772.75,0.5355,20.0
1789.5789298387913,4.910411889563041,70.6965481569917,0.22553851398546804,89.55768981082895,0.24863991186457954,20.982191235117284,3.938982204854289,1841.1756884077743,93.3750175004516,21.730264915537457,315.13,5772.75,0.5355,20.0
965.1642204692246,7.867478308368296,45.77098951646734,0.3895776550801259,88.22069558035209,0.18252875642050828,33.03621931909211,5.427803715267744,2036.2062006377816,113.6523793328932,27.279360689555073,315.13,5772.75,0.5355,20.0
929.4369459304501,5.7194157913574895,84.47840432222675,0.3513991235183035,79.45105968328747,0.2909317917685448,26.198302417462912,4.910737852814301,1417.4996751517049,19.406023363351334,8.144130879444415,315.13,5772.75,0.5355,20.0
972.4350920868018,5.889922742025826,72.23927033354674,0.4718638443722453,85.45073170842176,0.1711576580111241,26.530937204771,6.981342569922729,1474.39809913982,38.522862882086244,11.726275089223916,315.13,5772.75,0.5355,20.0
1486.444063451831,5.11065765975432,86.24180771394789,0.4400460431796658,75.43824620723652,0.28338958990636476,13.987494280394817,2.153827454288788,1544.9665002376398,56.607099710937916,13.97424872358686,315.13,5772.75,0.5355,20.0
1414.6581797233557,6.010764308188218,77.11331614154541,0.2473114881961177,83.1928341597459,0.13538759704063755,11.13153113198713,2.9404538059618512,1658.0336678634355,72.182075481611,18.109004514154606,315.13,5772.75,0.5355,20.0
1243.193400645726,5.367351601407405,66.70524898391508,0.2057895014261545,83.61417462769444,0.2554125505274585,11.545731432774694,1.7040305990805482,1614.0050690561775,65.57520374782825,16.421865896724963,315.13,5772.75,0.5355,20.0
1963.527196465321,5.209166461675927,98.28902919221548,0.458664690076362,78.64246211648397,0.2553026621628425,17.991295247210974,9.97176446439371,1649.9131787467722,72.51748977713532,17.322702844663937,315.13,5772.75,0.5355,20.0
1523.0248830895753,5.422319891028071,79.3522650293397,0.2029663987137268,87.6066251210971,0.13816995253360373,34.43128280997789,8.711157728269983,1646.7385786040577,69.75657912981289,17.40450416469985,315.13,5772.75,0.5355,20.0
1776.30802052433,6.049721824695505,60.87419640786287,0.49254903661489213,83.32729366868966,0.17955029545906656,31.833295331994275,4.640906953812842,2313.2925998589544,138.20041253237306,30.452257328715863,315.13,5772.75,0.5355,20.0
889.9698636852046,3.770829085233773,49.465266700735796,0.3847511548485997,87.90853410274582,0.12005059067405476,13.470079464962755,4.6419649609515625,1491.823493962049,42.54738362421747,10.937767189129854,315.13,5772.75,0.5355,20.0
1363.6143316585715,7.044139092506529,67.39080889737546,0.4188213766131248,81.42058852538058,0.22001128073460025,34.714591831077605,2.533705659488825,1864.6284154598804,98.15113637920814,23.55306354151986,315.13,5772.75,0.5355,20.0
913.3476510975531,4.332040498630517,63.96981668319219,0.46358971107515284,89.1564730407334,0.15340869695209527,23.927991643468147,2.4894474362569885,1452.4686408319708,32.100981322777685,9.36732224218182,315.13,5772.75,0.5355,20.0
801.3578592255672,3.7784033039246356,94.96097924996502,0.29193357853393903,89.23088437805474,0.2627735412461428,29.454346412687695,7.567681182469013,0.0,0.0,600.0,315.13,5772.75,0.5355,20.0
1989.7000625739815,6.289833184074546,59.87089262653844,0.4370142760313773,86.07576785153012,0.20214627314856326,38.858398312267184,0.51734625548018,2759.1511875876577,168.83563461850102,36.43508082470913,315.13,5772.75,0.5355,20.0
